C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATL (25),2028,,SS,Elvin Garcia,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),2027,,SS,Antonio Anderson,BOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-STL (25),2026,,3B,Jacob Reimer,NYM,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-LAA (25),2026,,3B,Mac Horvath,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2025,,3B,Jack Brannigan,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-DET (25),2025,,3B,Max Wagner,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,EXEMPT,,3B,Malcom Nunez,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIA (25),EXEMPT,,3B,TJ Rumfield,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATH (25),EXEMPT,,3B,Riley Tirotta,TOR,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 1,2029,,3B,Ethan Holliday,COL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PIT (25),2026,,3B,Oswaldo Osorio,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2027,,3B,Matt Halbach,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 5,2028,,3B,Chase Harlan,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-DET (25),Eligible,,3B,BJ Murray,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 6,2027,,3B,Zander Darby,SF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,EXEMPT,,OF,Misael Urbina ,MIN,,,,,,,,,,,,,,
