"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*03lua*","Brendan Rodgers","(N/A)","2B","967","FA","29","","60.5","1.89","0","-","7%","0%"
"*03nqc*","Jose Suarez","ATL","RP","969","FA","27","","60","3.75","2","463.2","8%","0%"
"*03qvr*","Seth Brown","(N/A)","OF","971","FA","33","","59.5","2.05","0","-","3%","0%"
"*05tjx*","Steven Cruz","KC","RP","972","FA","26","","59.5","1.08","3","463","9%","0%"
"*02j2v*","Travis Jankowski","(N/A)","OF","980","FA","34","","58.5","1.95","0","-","2%","0%"
"*04pmm*","Nick Sandlin","(N/A)","RP","982","FA","28","","58.5","1.17","0","-","6%","0%"
"*03qz9*","Sam Haggerty","TEX","OF","986","FA","31","","57.5","2.21","0","-","7%","0%"
"*05rfn*","Kaleb Ort","HOU","RP","989","FA","33","","57.5","1.15","0","-","2%","0%"
"*040cf*","Genesis Cabrera","(N/A)","RP","991","FA","29","","57","1.12","0","-","3%","0%"
"*0311w*","Ben Lively","(N/A)","SP","994","FA","33","","57","9.5","0","-","15%","0%"
"*04eku*","John King","(N/A)","RP","999","FA","31","","55.5","1.05","0","-","2%","0%"
"*03qjz*","Taylor Clarke","(N/A)","RP","1006","FA","32","","54.5","1.01","0","-","5%","0%"
"*03pj4*","Cody Ponce","TOR","SP,RP","1008","FA","31","","54.5","0","91","345.2","47%","+1%"
"*04n0k*","Carlos Hernandez","CLE","RP","1010","FA","28","","54","1.46","0","-","5%","0%"
"*03qqf*","Alexis Diaz","TEX","RP","1013","FA","29","","53.5","1.16","11","474.6","20%","0%"
"*04b3a*","Roansy Contreras","(N/A)","RP","1014","FA","26","","53","1.23","0","-","3%","0%"
"*02new*","Jose Castillo","(N/A)","RP","1016","FA","29","","52.5","1.46","0","-","2%","0%"
"*05tux*","Dauri Moreta","PIT","RP","1018","FA","29","","52.5","1.59","0","-","5%","0%"
"*02bwt*","Austin Barnes","(N/A)","C","1021","FA","35","","52","1.44","0","-","1%","0%"
"*04muw*","Konnor Pilkington","WSH","RP","1024","FA","28","","52","1.02","0","-","3%","0%"
"*02n6w*","Ryan Borucki","TOR","RP","1025","FA","31","","51.5","1.2","0","-","4%","0%"
"*021jb*","Ryan Brasier","(N/A)","RP","1027","FA","38","","51.5","1.36","0","-","5%","0%"
"*02brk*","Austin Hedges","CLE","C","1032","FA","33","","51","1.24","3","466.9","3%","0%"
"*03qu7*","Nick Madrigal","(N/A)","2B,3B","1034","FA","28","","50.5","2.3","0","-","4%","0%"
"*04ddz*","Yohan Ramirez","PIT","RP","1036","FA","30","","50.5","1.63","0","-","3%","0%"
"*03xmd*","John Brebbia","COL","RP","1041","FA","35","","49.5","1.3","0","-","3%","0%"
"*04eit*","Corey Julks","(N/A)","OF","1042","FA","29","","49.5","2.25","0","-","3%","0%"
"*0427a*","Casey Legumina","SEA","RP","1043","FA","28","","49.5","1.18","0","-","4%","0%"
"*02bq6*","Joe Ross","CHC","RP","1045","FA","32","","49.5","1.6","0","-","4%","0%"
"*041ze*","Josh Winckowski","(N/A)","RP","1047","FA","27","","49.5","1.77","0","-","7%","0%"
"*05rcp*","Tommy Nance","TOR","RP","1050","FA","34","","49","1.4","0","-","5%","0%"
"*03pp9*","Josh Sborz","(N/A)","RP","1051","FA","32","","49","1.44","0","-","4%","0%"
"*031d9*","Lou Trivino","(N/A)","RP","1053","FA","34","","49","1.11","0","-","4%","0%"
"*05r1z*","Zack Kelly","BOS","RP","1056","FA","30","","48.5","1.35","0","-","7%","0%"
"*04eel*","Stuart Fairchild","(N/A)","OF","1060","FA","29","","48","2.18","0","-","3%","0%"
