ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-
*064o0*,Jackson Smeltz,SD,RP,8774,FA,27,,0,0,0,-,0%,0%
*041ry*,Devin Smeltzer,(N/A),RP,8775,FA,30,,0,0,0,-,1%,0%
*04q4l*,Milton Smith Jr.,(N/A),OF,8776,FA,28,,0,0,0,-,0%,0%
*05ygm*,Adam Smith,(N/A),RP,8777,FA,25,,0,0,0,-,0%,0%
*06yxo*,Angelo Smith,LAA,RP,8779,FA,21,,0,0,0,-,0%,0%
*070ef*,Aubrey Smith,HOU,RP,8780,FA,21,,0,0,0,-,0%,0%
*067xp*,Austin Smith,COL,RP,8781,FA,26,,0,0,0,-,0%,0%
*06yxn*,Austin Smith,TOR,OF,8782,FA,22,,0,0,0,-,0%,0%
*070cx*,Brayden Smith,BAL,2B,8785,FA,22,,0,0,0,-,0%,0%
*02c1b*,Burch Smith,DET,RP,8786,FA,35,,0,0,0,-,0%,0%
*03753*,Caleb Smith,(N/A),SP,8788,FA,34,,0,0,0,-,0%,0%
*05u9m*,Carter Smith,(N/A),SS,8789,FA,19,,0,0,0,-,0%,0%
*05rd5*,Chad Smith,(N/A),RP,8790,FA,30,,0,0,0,-,1%,0%
*05jq1*,DAndre Smith,NYM,OF,8791,FA,24,,0,0,0,-,2%,0%
*06umx*,Darien Smith,SF,RP,8792,FA,26,NYY Wed 5:05PM,0,0,0,-,0%,0%
*06hx2*,David Smith,DET,OF,8793,FA,24,,0,0,0,-,0%,0%
*06zah*,Derrick Smith,COL,RP,8794,FA,22,,0,0,0,-,0%,0%
*06qpu*,Gavin Smith,TOR,SS,8795,FA,20,,0,0,0,-,0%,0%
*06nkn*,Grant Smith,(N/A),SS,8796,FA,25,,0,0,0,-,0%,0%
*04q3q*,Jake Smith,MIA,RP,8798,FA,26,,0,0,0,-,0%,0%
*05tp9*,James Peyton Smith,(N/A),SP,8799,FA,22,,0,0,0,-,0%,0%
*04q72*,Josh Smith,(N/A),"SP,RP",8800,FA,28,,0,0,0,-,0%,0%
